rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,map,catt-gran-santiago,Gran Santiago,holapapie-png,holapapie-png,https://github.com/holapapie-png,29,29,29,29,0,0,snapshot_2026_09_10.json,snapshot_2026_09_09.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,27,27,8182,8182,8155,8155,snapshot_2026_09_10.json,snapshot_2026_09_09.json
3,map,yukina-ua-kyiv,Київ / Kyiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,27,27,529,529,502,502,snapshot_2026_09_10.json,snapshot_2026_09_09.json
4,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,24,24,3335,3335,3311,3311,snapshot_2026_09_10.json,snapshot_2026_09_09.json
5,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,23,23,6017,6017,5994,5994,snapshot_2026_09_10.json,snapshot_2026_09_09.json
6,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,23,23,1147,1147,1124,1124,snapshot_2026_09_10.json,snapshot_2026_09_09.json
7,mod,dantrains-abridged,Dan Trains Abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,23,23,855,855,832,832,snapshot_2026_09_10.json,snapshot_2026_09_09.json
8,map,catt-chile-central,Chile Central,holapapie-png,holapapie-png,https://github.com/holapapie-png,21,21,21,21,0,0,snapshot_2026_09_10.json,snapshot_2026_09_09.json
9,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,18,18,5442,5442,5424,5424,snapshot_2026_09_10.json,snapshot_2026_09_09.json
10,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,17,17,4141,4141,4124,4124,snapshot_2026_09_10.json,snapshot_2026_09_09.json
11,mod,intercity-hsr-trains,"Intercity, HSR & Express Metro Trains",danielloong714,danielloong714,https://github.com/danielloong714,17,17,267,267,250,250,snapshot_2026_09_10.json,snapshot_2026_09_09.json
12,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,16,16,1224,1224,1208,1208,snapshot_2026_09_10.json,snapshot_2026_09_09.json
13,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,15,15,5365,5365,5350,5350,snapshot_2026_09_10.json,snapshot_2026_09_09.json
14,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,15,15,2567,2567,2552,2552,snapshot_2026_09_10.json,snapshot_2026_09_09.json
15,map,montreal,Montreal,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,14,14,2315,2315,2301,2301,snapshot_2026_09_10.json,snapshot_2026_09_09.json
16,map,yukina-ua-dnipro,Дніпро / Dnipro,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,14,14,171,171,157,157,snapshot_2026_09_10.json,snapshot_2026_09_09.json
17,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,13,13,3235,3235,3222,3222,snapshot_2026_09_10.json,snapshot_2026_09_09.json
18,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,13,13,1873,1873,1860,1860,snapshot_2026_09_10.json,snapshot_2026_09_09.json
19,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,13,13,1415,1415,1402,1402,snapshot_2026_09_10.json,snapshot_2026_09_09.json
20,map,yukina-ua-kharkiv,Харків / Kharkiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,13,13,189,189,176,176,snapshot_2026_09_10.json,snapshot_2026_09_09.json
21,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,12,12,2920,2920,2908,2908,snapshot_2026_09_10.json,snapshot_2026_09_09.json
22,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,12,12,2204,2204,2192,2192,snapshot_2026_09_10.json,snapshot_2026_09_09.json
23,map,yukina-ua-lviv,Львів / Lviv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,12,12,197,197,185,185,snapshot_2026_09_10.json,snapshot_2026_09_09.json
24,map,yukina-ua-odesa,Одеса / Odesa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,11,11,191,191,180,180,snapshot_2026_09_10.json,snapshot_2026_09_09.json
25,map,yukina-ua-kryvyi-rih,Кривий Ріг / Kryvyi Rih,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,11,11,114,114,103,103,snapshot_2026_09_10.json,snapshot_2026_09_09.json
26,map,yukina-ua-zaporizhzhia,Запоріжжя / Zaporizhzhia,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,11,11,109,109,98,98,snapshot_2026_09_10.json,snapshot_2026_09_09.json
27,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,10,10,2550,2550,2540,2540,snapshot_2026_09_10.json,snapshot_2026_09_09.json
28,map,vienna,Vienna,Rmerr1,Rmerr1,https://github.com/Rmerr1,10,10,506,506,496,496,snapshot_2026_09_10.json,snapshot_2026_09_09.json
29,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,9,9,2613,2613,2604,2604,snapshot_2026_09_10.json,snapshot_2026_09_09.json
30,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,8,8,3814,3814,3806,3806,snapshot_2026_09_10.json,snapshot_2026_09_09.json
31,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,8,8,1893,1893,1885,1885,snapshot_2026_09_10.json,snapshot_2026_09_09.json
32,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,8,8,1835,1835,1827,1827,snapshot_2026_09_10.json,snapshot_2026_09_09.json
33,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,8,8,1728,1728,1720,1720,snapshot_2026_09_10.json,snapshot_2026_09_09.json
34,mod,train-anarchy,Train Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,8,8,393,393,385,385,snapshot_2026_09_10.json,snapshot_2026_09_09.json
35,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,7,7,3717,3717,3710,3710,snapshot_2026_09_10.json,snapshot_2026_09_09.json
36,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,7,2519,2519,2512,2512,snapshot_2026_09_10.json,snapshot_2026_09_09.json
37,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,7,7,2468,2468,2461,2461,snapshot_2026_09_10.json,snapshot_2026_09_09.json
38,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,7,2159,2159,2152,2152,snapshot_2026_09_10.json,snapshot_2026_09_09.json
39,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,7,7,1762,1762,1755,1755,snapshot_2026_09_10.json,snapshot_2026_09_09.json
40,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,7,7,1692,1692,1685,1685,snapshot_2026_09_10.json,snapshot_2026_09_09.json
41,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,7,7,1385,1385,1378,1378,snapshot_2026_09_10.json,snapshot_2026_09_09.json
42,mod,map-markers,Map Markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,7,7,1170,1170,1163,1163,snapshot_2026_09_10.json,snapshot_2026_09_09.json
43,map,rhein-main-neckar,Frankfurt (Rhein-Main-Neckar),pierreggt,pierreggt,https://github.com/pierreggt,7,7,190,190,183,183,snapshot_2026_09_10.json,snapshot_2026_09_09.json
44,map,muenchen,München,pierreggt,pierreggt,https://github.com/pierreggt,7,7,159,159,152,152,snapshot_2026_09_10.json,snapshot_2026_09_09.json
45,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,6,6,3793,3793,3787,3787,snapshot_2026_09_10.json,snapshot_2026_09_09.json
46,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,6,6,2332,2332,2326,2326,snapshot_2026_09_10.json,snapshot_2026_09_09.json
47,map,vancouver,Vancouver,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,6,6,1942,1942,1936,1936,snapshot_2026_09_10.json,snapshot_2026_09_09.json
48,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,6,6,1733,1733,1727,1727,snapshot_2026_09_10.json,snapshot_2026_09_09.json
49,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,1648,1648,1642,1642,snapshot_2026_09_10.json,snapshot_2026_09_09.json
50,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,6,6,1639,1639,1633,1633,snapshot_2026_09_10.json,snapshot_2026_09_09.json
51,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,6,6,1041,1041,1035,1035,snapshot_2026_09_10.json,snapshot_2026_09_09.json
52,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,6,6,521,521,515,515,snapshot_2026_09_10.json,snapshot_2026_09_09.json
53,map,nz-auckland,Auckland,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,6,6,349,349,343,343,snapshot_2026_09_10.json,snapshot_2026_09_09.json
54,mod,demand-clusters,Demand Clusters,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,6,6,306,306,300,300,snapshot_2026_09_10.json,snapshot_2026_09_09.json
55,map,au-adelaide,Adelaide,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,6,6,202,202,196,196,snapshot_2026_09_10.json,snapshot_2026_09_09.json
56,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,5,5,1896,1896,1891,1891,snapshot_2026_09_10.json,snapshot_2026_09_09.json
57,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,5,5,1808,1808,1803,1803,snapshot_2026_09_10.json,snapshot_2026_09_09.json
58,map,paris-ile-de-france,Paris - Ile de France,pierreggt,pierreggt,https://github.com/pierreggt,5,5,1529,1529,1524,1524,snapshot_2026_09_10.json,snapshot_2026_09_09.json
