rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,298,298,52055,52055,51757,51757,snapshot_2026_09_10.json,snapshot_2026_09_09.json,283,283,15,15
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,67,67,7493,7493,7426,7426,snapshot_2026_09_10.json,snapshot_2026_09_09.json,67,67,0,0
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,62,62,11389,11389,11327,11327,snapshot_2026_09_10.json,snapshot_2026_09_09.json,37,37,25,25
4,devenperez,devenperez,https://github.com/devenperez,8,8,0,56,56,11097,11097,11041,11041,snapshot_2026_09_10.json,snapshot_2026_09_09.json,56,56,0,0
5,holapapie-png,holapapie-png,https://github.com/holapapie-png,2,2,0,50,50,50,50,0,0,snapshot_2026_09_10.json,snapshot_2026_09_09.json,50,50,0,0
6,rslurry,slurry,https://github.com/rslurry,35,33,2,46,46,22134,22134,22088,22088,snapshot_2026_09_10.json,snapshot_2026_09_09.json,40,40,6,6
7,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,46,46,6764,6764,6718,6718,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,46,46
8,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,43,43,14508,14508,14465,14465,snapshot_2026_09_10.json,snapshot_2026_09_09.json,13,13,30,30
9,martig7,martig7,https://github.com/martig7,2,0,2,40,40,10158,10158,10118,10118,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,40,40
10,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,37,37,13276,13276,13239,13239,snapshot_2026_09_10.json,snapshot_2026_09_09.json,10,10,27,27
11,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,33,33,9750,9750,9717,9717,snapshot_2026_09_10.json,snapshot_2026_09_09.json,33,33,0,0
12,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,30,30,10471,10471,10441,10441,snapshot_2026_09_10.json,snapshot_2026_09_09.json,30,30,0,0
13,nzh0172,naz,https://github.com/nzh0172,8,5,3,26,26,7023,7023,6997,6997,snapshot_2026_09_10.json,snapshot_2026_09_09.json,5,5,21,21
14,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,26,26,3934,3934,3908,3908,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,26,26
15,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,23,23,141,141,118,118,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,23,23
16,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,20,20,2585,2585,2565,2565,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,20,20
17,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,17,17,267,267,250,250,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,17,17
18,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,16,16,1224,1224,1208,1208,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,16,16
19,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,15,15,4456,4456,4441,4441,snapshot_2026_09_10.json,snapshot_2026_09_09.json,15,15,0,0
20,pendulating,pendulating,https://github.com/pendulating,1,0,1,12,12,2204,2204,2192,2192,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,12,12
21,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,11,11,3882,3882,3871,3871,snapshot_2026_09_10.json,snapshot_2026_09_09.json,1,1,10,10
22,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,10,10,506,506,496,496,snapshot_2026_09_10.json,snapshot_2026_09_09.json,10,10,0,0
23,kimth9,kimth9,https://github.com/kimth9,20,19,1,9,9,8599,8599,8590,8590,snapshot_2026_09_10.json,snapshot_2026_09_09.json,7,7,2,2
24,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,9,9,2613,2613,2604,2604,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,9,9
25,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,8,8,1893,1893,1885,1885,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,8,8
26,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,8,8,1529,1529,1521,1521,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,8,8
27,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,7,7,3717,3717,3710,3710,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,7,7
28,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,3,0,3,7,7,117,117,110,110,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,7,7
29,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,6,6,306,306,300,300,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,6,6
30,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,5,5,1364,1364,1359,1359,snapshot_2026_09_10.json,snapshot_2026_09_09.json,5,5,0,0
31,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,5,5,252,252,247,247,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,5,5
32,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,1,1,0,4,4,612,612,608,608,snapshot_2026_09_10.json,snapshot_2026_09_09.json,4,4,0,0
33,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,3,3,2797,2797,2794,2794,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,3,3
34,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,3,3,1715,1713,1712,1710,snapshot_2026_09_10.json,snapshot_2026_09_09.json,3,3,0,0
35,cromstar,cromstar,https://github.com/cromstar,1,1,0,3,3,374,374,371,371,snapshot_2026_09_10.json,snapshot_2026_09_09.json,3,3,0,0
36,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,3,3,216,216,213,213,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,3,3
37,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,3,3,177,177,174,174,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,3,3
38,jelegend,jelegend,https://github.com/jelegend,1,1,0,2,2,3769,3769,3767,3767,snapshot_2026_09_10.json,snapshot_2026_09_09.json,2,2,0,0
39,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,2,2,1040,1040,1038,1038,snapshot_2026_09_10.json,snapshot_2026_09_09.json,2,2,0,0
40,arniber21,arniber21,https://github.com/arniber21,1,0,1,2,2,247,247,245,245,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,2,2
41,bean1322,bean1322,https://github.com/bean1322,2,2,0,2,2,183,183,181,181,snapshot_2026_09_10.json,snapshot_2026_09_09.json,2,2,0,0
42,hernang87,hernang87,https://github.com/hernang87,1,1,0,2,2,145,145,143,143,snapshot_2026_09_10.json,snapshot_2026_09_09.json,2,2,0,0
43,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,1,1,371,371,370,370,snapshot_2026_09_10.json,snapshot_2026_09_09.json,1,1,0,0
44,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,1,1,213,213,212,212,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,1,1
45,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,1,1,157,157,156,156,snapshot_2026_09_10.json,snapshot_2026_09_09.json,1,1,0,0
46,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,1,1,131,131,130,130,snapshot_2026_09_10.json,snapshot_2026_09_09.json,1,1,0,0
47,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,0,0,13939,13939,13939,13939,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
48,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,0,0,1648,1648,1648,1648,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
49,IMB11,IMB11,https://github.com/IMB11,2,0,2,0,0,1262,1262,1262,1262,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
50,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,0,0,380,380,380,380,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
51,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,0,0,314,314,314,314,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
52,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,0,0,268,268,268,268,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
53,giannons46,giannons46,https://github.com/giannons46,1,1,0,0,0,173,173,173,173,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
54,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,0,0,145,145,145,145,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
55,JcPires,JcPires,https://github.com/JcPires,1,1,0,0,0,94,94,94,94,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
56,matematysek,matematysek,https://github.com/matematysek,1,0,1,0,0,23,23,23,23,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
57,akospanov,akospanov,https://github.com/akospanov,1,1,0,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
58,Meszier83,Meszier83,https://github.com/Meszier83,1,1,0,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
59,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,2,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,0,0
