rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,448,448,8182,8182,7734,7734,snapshot_2026_09_10.json,snapshot_2026_08_27.json
2,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,406,406,4141,4141,3735,3735,snapshot_2026_09_10.json,snapshot_2026_08_27.json
3,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,391,391,6017,6017,5626,5626,snapshot_2026_09_10.json,snapshot_2026_08_27.json
4,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,391,391,5442,5442,5051,5051,snapshot_2026_09_10.json,snapshot_2026_08_27.json
5,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,380,380,1224,1224,844,844,snapshot_2026_09_10.json,snapshot_2026_08_27.json
6,map,vienna,Vienna,Rmerr1,Rmerr1,https://github.com/Rmerr1,335,335,506,506,171,171,snapshot_2026_09_10.json,snapshot_2026_08_27.json
7,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,313,313,5365,5365,5052,5052,snapshot_2026_09_10.json,snapshot_2026_08_27.json
8,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,310,310,1415,1415,1105,1105,snapshot_2026_09_10.json,snapshot_2026_08_27.json
9,mod,dantrains-abridged,Dan Trains Abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,293,293,855,855,562,562,snapshot_2026_09_10.json,snapshot_2026_08_27.json
10,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,273,273,2519,2519,2246,2246,snapshot_2026_09_10.json,snapshot_2026_08_27.json
11,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,258,258,2204,2204,1946,1946,snapshot_2026_09_10.json,snapshot_2026_08_27.json
12,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,236,236,3814,3814,3578,3578,snapshot_2026_09_10.json,snapshot_2026_08_27.json
13,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,214,214,1147,1147,933,933,snapshot_2026_09_10.json,snapshot_2026_08_27.json
14,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,205,205,2920,2920,2715,2715,snapshot_2026_09_10.json,snapshot_2026_08_27.json
15,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,195,195,3235,3235,3040,3040,snapshot_2026_09_10.json,snapshot_2026_08_27.json
16,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,193,193,3335,3335,3142,3142,snapshot_2026_09_10.json,snapshot_2026_08_27.json
17,map,rhein-main-neckar,Frankfurt (Rhein-Main-Neckar),pierreggt,pierreggt,https://github.com/pierreggt,190,190,190,190,0,0,snapshot_2026_09_10.json,snapshot_2026_08_27.json
18,map,yukina-ua-kyiv,Київ / Kyiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,186,186,529,529,343,343,snapshot_2026_09_10.json,snapshot_2026_08_27.json
19,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,175,175,2550,2550,2375,2375,snapshot_2026_09_10.json,snapshot_2026_08_27.json
20,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,173,173,2518,2518,2345,2345,snapshot_2026_09_10.json,snapshot_2026_08_27.json
21,mod,orbital-surveyor,Orbital Surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,173,173,2332,2332,2159,2159,snapshot_2026_09_10.json,snapshot_2026_08_27.json
22,map,hamburg,Hamburg,pierreggt,pierreggt,https://github.com/pierreggt,162,162,162,162,0,0,snapshot_2026_09_10.json,snapshot_2026_08_27.json
23,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,161,161,3717,3717,3556,3556,snapshot_2026_09_10.json,snapshot_2026_08_27.json
24,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,161,161,1873,1873,1712,1712,snapshot_2026_09_10.json,snapshot_2026_08_27.json
25,mod,missed-connections,Missed Connections,rslurry,slurry,https://github.com/rslurry,160,160,1896,1896,1736,1736,snapshot_2026_09_10.json,snapshot_2026_08_27.json
26,map,yukina-tw-taipei,臺北 (Taipei),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,159,159,2159,2159,2000,2000,snapshot_2026_09_10.json,snapshot_2026_08_27.json
27,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,159,159,1648,1648,1489,1489,snapshot_2026_09_10.json,snapshot_2026_08_27.json
28,map,muenchen,München,pierreggt,pierreggt,https://github.com/pierreggt,159,159,159,159,0,0,snapshot_2026_09_10.json,snapshot_2026_08_27.json
29,mod,intercity-hsr-trains,"Intercity, HSR & Express Metro Trains",danielloong714,danielloong714,https://github.com/danielloong714,156,156,267,267,111,111,snapshot_2026_09_10.json,snapshot_2026_08_27.json
30,map,yukina-lt-vilnius,Vilnius,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,146,146,501,501,355,355,snapshot_2026_09_10.json,snapshot_2026_08_27.json
31,map,paris-ile-de-france,Paris - Ile de France,pierreggt,pierreggt,https://github.com/pierreggt,145,145,1529,1529,1384,1384,snapshot_2026_09_10.json,snapshot_2026_08_27.json
32,map,ruhrgebiet,Ruhrgebiet,pierreggt,pierreggt,https://github.com/pierreggt,139,139,139,139,0,0,snapshot_2026_09_10.json,snapshot_2026_08_27.json
33,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,138,138,2567,2567,2429,2429,snapshot_2026_09_10.json,snapshot_2026_08_27.json
