rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
40,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,31,31,247,247,216,216,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,31,31
41,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,31,31,130,130,99,99,snapshot_2026_09_09.json,snapshot_2026_08_26.json,31,31,0,0
42,giannons46,giannons46,https://github.com/giannons46,1,1,0,27,27,173,173,146,146,snapshot_2026_09_09.json,snapshot_2026_08_26.json,27,27,0,0
43,bean1322,bean1322,https://github.com/bean1322,2,2,0,26,26,181,181,155,155,snapshot_2026_09_09.json,snapshot_2026_08_26.json,26,26,0,0
44,hernang87,hernang87,https://github.com/hernang87,1,1,0,21,21,143,143,122,122,snapshot_2026_09_09.json,snapshot_2026_08_26.json,21,21,0,0
45,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,20,20,370,370,350,350,snapshot_2026_09_09.json,snapshot_2026_08_26.json,20,20,0,0
46,JcPires,JcPires,https://github.com/JcPires,1,1,0,19,19,94,94,75,75,snapshot_2026_09_09.json,snapshot_2026_08_26.json,19,19,0,0
47,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,15,15,145,145,130,130,snapshot_2026_09_09.json,snapshot_2026_08_26.json,15,15,0,0
48,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,13,13,156,156,143,143,snapshot_2026_09_09.json,snapshot_2026_08_26.json,13,13,0,0
49,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,5,5,212,212,207,207,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,5,5
50,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,3,3,314,314,311,311,snapshot_2026_09_09.json,snapshot_2026_08_26.json,3,3,0,0
51,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,1,1,380,380,379,379,snapshot_2026_09_09.json,snapshot_2026_08_26.json,1,1,0,0
52,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,0,0,14278,14278,14278,14278,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,0,0
53,IMB11,IMB11,https://github.com/IMB11,2,0,2,0,0,1288,1288,1288,1288,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,0,0
54,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,0,0,268,268,268,268,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,0,0
55,matematysek,matematysek,https://github.com/matematysek,1,0,1,0,0,23,23,23,23,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,0,0
56,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,2,0,0,0,0,0,0,snapshot_2026_09_09.json,snapshot_2026_08_26.json,0,0,0,0
