rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,74,8541,8541,19417,19417,10876,10876,snapshot_2026_09_10.json,snapshot_2026_08_11.json,8541,8541,0,0
2,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,7453,7453,22648,22648,15195,15195,snapshot_2026_09_10.json,snapshot_2026_08_11.json,7453,7453,0,0
3,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,2049,2049,4047,4047,1998,1998,snapshot_2026_09_10.json,snapshot_2026_08_11.json,2049,2049,0,0
4,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,1713,1713,4612,4612,2899,2899,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1713,1713,0,0
5,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,1445,1445,6445,6445,5000,5000,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1445,1445,0,0
6,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,1421,1421,1421,1421,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1421,1421,0,0
7,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,1404,1404,20011,20011,18607,18607,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1404,1404,0,0
8,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,1269,1269,11096,11096,9827,9827,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1269,1269,0,0
9,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,1160,1160,4138,4138,2978,2978,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,1160,1160
10,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,1033,1033,8180,8180,7147,7147,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,1033,1033
