rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
267,map,yukina-lt-siauliai,Šiauliai,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,150,150,snapshot_2026_09_09.json
268,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,148,148,snapshot_2026_09_09.json
269,map,palma-de-mallorca,Palma de Mallorca,Maximilian284,max02,https://github.com/Maximilian284,146,146,snapshot_2026_09_09.json
270,map,mississippi,Mississippi,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,145,145,snapshot_2026_09_09.json
271,map,amba,Buenos Aires,hernang87,hernang87,https://github.com/hernang87,143,143,snapshot_2026_09_09.json
272,map,sevilla,Sevilla,Maximilian284,max02,https://github.com/Maximilian284,143,143,snapshot_2026_09_09.json
273,map,mfn-rdu,Raleigh,crumpetime,muffintime,https://github.com/crumpetime,142,142,snapshot_2026_09_09.json
274,map,ankara,Ankara,pierreggt,pierreggt,https://github.com/pierreggt,140,140,snapshot_2026_09_09.json
275,map,yukina-ee-ida-viru,Ida-Viru,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,139,139,snapshot_2026_09_09.json
276,map,knoxville,Knoxville,rslurry,slurry,https://github.com/rslurry,137,137,snapshot_2026_09_09.json
277,map,wilmington-nc,"Wilmington, NC",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,137,137,snapshot_2026_09_09.json
278,map,ruhrgebiet,Ruhrgebiet,pierreggt,pierreggt,https://github.com/pierreggt,136,136,snapshot_2026_09_09.json
279,mod,hide-and-seek,Hide+Seek: The Mod [beta],nzh0172,naz,https://github.com/nzh0172,135,135,snapshot_2026_09_09.json
280,map,nz-christchurch,Christchurch,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,131,131,snapshot_2026_09_09.json
281,map,yukina-lv-liepaja,Liepāja,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,131,131,snapshot_2026_09_09.json
282,map,yukina-tw-southern-taiwan,南臺灣 (Southern Taiwan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,131,131,snapshot_2026_09_09.json
283,map,brussels,Brussels,lexenygma,lexenygma,https://github.com/lexenygma,130,130,snapshot_2026_09_09.json
284,map,bonn-koeln,Bonn-Köln,pierreggt,pierreggt,https://github.com/pierreggt,128,128,snapshot_2026_09_09.json
285,map,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,125,125,snapshot_2026_09_09.json
286,map,yukina-pl-olsztyn,Olsztyn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,123,123,snapshot_2026_09_09.json
287,map,dayton-oh,Dayton,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,118,118,snapshot_2026_09_09.json
288,map,pulau-pinang,Pulau Pinang,nzh0172,naz,https://github.com/nzh0172,116,116,snapshot_2026_09_09.json
289,map,yukina-pl-zielona-gora,Zielona Góra,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,113,113,snapshot_2026_09_09.json
290,mod,anysave,AnySave,BarKuperman,BarKuperman,https://github.com/BarKuperman,112,112,snapshot_2026_09_09.json
291,map,pianura-emiliana,Pianura Emiliana,Maximilian284,max02,https://github.com/Maximilian284,112,112,snapshot_2026_09_09.json
292,map,baghdad,Baghdad,pierreggt,pierreggt,https://github.com/pierreggt,111,111,snapshot_2026_09_09.json
293,map,montpellier-mediterranee,Montpellier,pierreggt,pierreggt,https://github.com/pierreggt,111,111,snapshot_2026_09_09.json
294,map,yukina-pl-radom,Radom,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,111,111,snapshot_2026_09_09.json
295,map,mexicali,Mexicali-Imperial Valley-Yuma,rslurry,slurry,https://github.com/rslurry,108,108,snapshot_2026_09_09.json
296,map,yukina-pl-opole,Opole,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,108,108,snapshot_2026_09_09.json
297,map,yukina-pl-czestochowa,Częstochowa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,106,106,snapshot_2026_09_09.json
298,map,yukina-fuji-numazu,富士・沼津 (Fuji & Numazu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,105,105,snapshot_2026_09_09.json
299,map,syracuse-ny,"Syracuse, NY",PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,104,104,snapshot_2026_09_09.json
300,map,yukina-pl-central-pomerania,Pomorze Środkowe,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,104,104,snapshot_2026_09_09.json
301,map,yukina-ua-kryvyi-rih,Кривий Ріг / Kryvyi Rih,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,103,103,snapshot_2026_09_09.json
302,map,riviera-romagnola,Riviera Romagnola,Maximilian284,max02,https://github.com/Maximilian284,101,101,snapshot_2026_09_09.json
303,map,grand-geneve,Grand Genève,pierreggt,pierreggt,https://github.com/pierreggt,100,100,snapshot_2026_09_09.json
304,map,yukina-ua-zaporizhzhia,Запоріжжя / Zaporizhzhia,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,98,98,snapshot_2026_09_09.json
305,map,ile-de-france,Paris (IDF),JcPires,JcPires,https://github.com/JcPires,94,94,snapshot_2026_09_09.json
306,map,alicante,Alicante,Maximilian284,max02,https://github.com/Maximilian284,93,93,snapshot_2026_09_09.json
307,map,yukina-kanazawa,金沢 (Kanazawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,92,92,snapshot_2026_09_09.json
308,map,antalya,Antalya,pierreggt,pierreggt,https://github.com/pierreggt,91,91,snapshot_2026_09_09.json
309,map,toledo-oh,Toledo,bean1322,bean1322,https://github.com/bean1322,91,91,snapshot_2026_09_09.json
310,map,akron-oh,"Akron, OH",bean1322,bean1322,https://github.com/bean1322,90,90,snapshot_2026_09_09.json
311,map,yukina-pl-legnica,Legnica - LGOM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,90,90,snapshot_2026_09_09.json
312,map,damascus,Damascus,pierreggt,pierreggt,https://github.com/pierreggt,88,88,snapshot_2026_09_09.json
313,map,yukina-akita,秋田 (Akita),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,87,87,snapshot_2026_09_09.json
314,map,yukina-maebashi,前橋 (Maebashi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,87,87,snapshot_2026_09_09.json
315,map,daejeon-3,Daejeon (30km×30km),kimth9,kimth9,https://github.com/kimth9,86,86,snapshot_2026_09_09.json
316,map,yukina-pl-plock-wloclawek,Płock - Włocławek,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,85,85,snapshot_2026_09_09.json
317,map,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,83,83,snapshot_2026_09_09.json
318,map,johor-bahru,Johor Bahru,nzh0172,naz,https://github.com/nzh0172,83,83,snapshot_2026_09_09.json
319,map,ulsan-3,Ulsan (30km×30km),kimth9,kimth9,https://github.com/kimth9,83,83,snapshot_2026_09_09.json
320,map,eurodistrict-bale,Eurodistrict of Basel,pierreggt,pierreggt,https://github.com/pierreggt,82,82,snapshot_2026_09_09.json
321,map,kristiansand-no,Kristiansand,rslurry,slurry,https://github.com/rslurry,82,82,snapshot_2026_09_09.json
322,mod,noah-great-society,Great Society Metro Train,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,81,81,snapshot_2026_09_09.json
323,map,yukina-utsunomiya,宇都宮 (Utsunomiya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,80,80,snapshot_2026_09_09.json
324,map,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,78,78,snapshot_2026_09_09.json
325,map,yukina-nagano,長野 (Nagano),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,78,78,snapshot_2026_09_09.json
326,map,mfn-rsw,Fort Myers,crumpetime,muffintime,https://github.com/crumpetime,74,74,snapshot_2026_09_09.json
327,map,yukina-fukui,福井 (Fukui),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,73,73,snapshot_2026_09_09.json
328,map,xiamen,Xiamen,Kronifer,Kronifer,https://github.com/Kronifer,71,71,snapshot_2026_09_09.json
329,map,yukina-matsumoto,松本 (Matsumoto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,71,71,snapshot_2026_09_09.json
330,map,yukina-tokushima,徳島 (Tokushima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,71,71,snapshot_2026_09_09.json
331,map,tehran,Tehran,pierreggt,pierreggt,https://github.com/pierreggt,70,70,snapshot_2026_09_09.json
332,map,yukina-fukuyama,福山 (Fukuyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,70,70,snapshot_2026_09_09.json
333,map,yukina-mito-hitachi,水戸・日立 (Mito & Hitachi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,70,70,snapshot_2026_09_09.json
334,map,yukina-oita,大分 (Ōita),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,70,70,snapshot_2026_09_09.json
335,map,yukina-wakayama,和歌山 (Wakayama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,70,70,snapshot_2026_09_09.json
336,map,cusco,Cusco,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,68,68,snapshot_2026_09_09.json
337,map,yukina-kofu,甲府 (Kōfu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,68,68,snapshot_2026_09_09.json
338,map,yukina-yamaguchi,山口 (Yamaguchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,68,68,snapshot_2026_09_09.json
339,map,stuttgart,Stuttgart,pierreggt,pierreggt,https://github.com/pierreggt,67,67,snapshot_2026_09_09.json
340,map,yukina-hachinohe,八戸 (Hachinohe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,67,67,snapshot_2026_09_09.json
341,map,yukina-miyazaki,宮崎 (Miyazaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,67,67,snapshot_2026_09_09.json
342,map,arequipa,Arequipa,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,66,66,snapshot_2026_09_09.json
343,map,yukina-tw-hualien-taitung,花蓮・臺東 (Hualien & Taitung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,63,63,snapshot_2026_09_09.json
344,map,dresden,Dresden,pierreggt,pierreggt,https://github.com/pierreggt,61,61,snapshot_2026_09_09.json
345,map,gwangju-3,Gwangju (30km×30km),kimth9,kimth9,https://github.com/kimth9,60,60,snapshot_2026_09_09.json
346,map,abu-dhabi,Abu Dhabi,pierreggt,pierreggt,https://github.com/pierreggt,59,59,snapshot_2026_09_09.json
347,map,yukina-tw-yilan,宜蘭 (Yilan),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,58,58,snapshot_2026_09_09.json
348,map,riyadh,Riyadh,pierreggt,pierreggt,https://github.com/pierreggt,54,54,snapshot_2026_09_09.json
349,map,beirut,Beirut,pierreggt,pierreggt,https://github.com/pierreggt,51,51,snapshot_2026_09_09.json
350,map,springfield-il,"Springfield, IL",NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,50,50,snapshot_2026_09_09.json
351,map,arc-mediterraneen,L'Arc Méditerranéen,pierreggt,pierreggt,https://github.com/pierreggt,49,49,snapshot_2026_09_09.json
352,map,alexandria,Alexandria,pierreggt,pierreggt,https://github.com/pierreggt,48,48,snapshot_2026_09_09.json
353,map,augsburg,Augsburg,pierreggt,pierreggt,https://github.com/pierreggt,48,48,snapshot_2026_09_09.json
354,map,chiclayo,Chiclayo,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,48,48,snapshot_2026_09_09.json
355,map,jeju-4,Jeju (40km×40km),kimth9,kimth9,https://github.com/kimth9,48,48,snapshot_2026_09_09.json
356,map,nuernberg,Nürnberg,pierreggt,pierreggt,https://github.com/pierreggt,48,48,snapshot_2026_09_09.json
357,map,piura,Piura,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,48,48,snapshot_2026_09_09.json
358,map,trujillo,Trujillo,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,48,48,snapshot_2026_09_09.json
359,map,aachen,Aachen,pierreggt,pierreggt,https://github.com/pierreggt,47,47,snapshot_2026_09_09.json
360,map,corse,Corse,pierreggt,pierreggt,https://github.com/pierreggt,47,47,snapshot_2026_09_09.json
361,map,bremen,Bremen,pierreggt,pierreggt,https://github.com/pierreggt,46,46,snapshot_2026_09_09.json
362,map,jeddah-mecca,Jeddah & Mecca,pierreggt,pierreggt,https://github.com/pierreggt,46,46,snapshot_2026_09_09.json
363,map,chimbote,Chimbote,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,45,45,snapshot_2026_09_09.json
364,map,iquitos,Iquitos,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,45,45,snapshot_2026_09_09.json
365,map,pays-basque,Euskal Herria,pierreggt,pierreggt,https://github.com/pierreggt,44,44,snapshot_2026_09_09.json
366,map,reunion,La Réunion,pierreggt,pierreggt,https://github.com/pierreggt,44,44,snapshot_2026_09_09.json
367,map,hannover-braunschweig,Hannover-Braunschweig,pierreggt,pierreggt,https://github.com/pierreggt,43,43,snapshot_2026_09_09.json
