rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
35,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,80,80,3034,3034,2954,2954,snapshot_2026_09_07.json,snapshot_2026_08_31.json
36,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,75,75,2540,2540,2465,2465,snapshot_2026_09_07.json,snapshot_2026_08_31.json
37,danielloong714/intercity-hsr-trains,intercity-hsr-trains,danielloong714,danielloong714,https://github.com/danielloong714,1,72,72,224,224,152,152,snapshot_2026_09_07.json,snapshot_2026_08_31.json
38,noahgarrf/great-society-subway-train,Great-Society-Subway-Train,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,71,71,71,71,0,0,snapshot_2026_09_07.json,snapshot_2026_08_31.json
39,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,68,68,2446,2446,2378,2378,snapshot_2026_09_07.json,snapshot_2026_08_31.json
40,seanyushoumori/scrollable-dropdowns,scrollable-dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,66,66,1705,1705,1639,1639,snapshot_2026_09_07.json,snapshot_2026_08_31.json
41,prodigious-penguin/penguin-approved-rolling-stock,Penguin-Approved-Rolling-Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,62,62,211,211,149,149,snapshot_2026_09_07.json,snapshot_2026_08_31.json
42,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,61,61,2780,2780,2719,2719,snapshot_2026_09_07.json,snapshot_2026_08_31.json
43,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,57,57,2597,2597,2540,2540,snapshot_2026_09_07.json,snapshot_2026_08_31.json
44,pierreggt/subway-builder-istanbul,subway-builder-istanbul,pierreggt,pierreggt,https://github.com/pierreggt,1,56,56,498,498,442,442,snapshot_2026_09_07.json,snapshot_2026_08_31.json
45,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,53,53,8128,8128,8075,8075,snapshot_2026_09_07.json,snapshot_2026_08_31.json
46,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,51,51,1882,1882,1831,1831,snapshot_2026_09_07.json,snapshot_2026_08_31.json
47,cromstar/subwaybuilder-seoul-map,subwaybuilder-seoul-map,cromstar,cromstar,https://github.com/cromstar,1,50,50,363,363,313,313,snapshot_2026_09_07.json,snapshot_2026_08_31.json
48,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,49,49,3764,3764,3715,3715,snapshot_2026_09_07.json,snapshot_2026_08_31.json
49,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,44,44,2187,2187,2143,2143,snapshot_2026_09_07.json,snapshot_2026_08_31.json
50,roquerodrigo/subway-builder-map-markers,subway-builder-map-markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,41,41,1155,1155,1114,1114,snapshot_2026_09_07.json,snapshot_2026_08_31.json
51,arniber21/dantrains-abridged,dantrains-abridged,arniber21,arniber21,https://github.com/arniber21,1,38,38,244,244,206,206,snapshot_2026_09_07.json,snapshot_2026_08_31.json
52,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,34,34,1349,1349,1315,1315,snapshot_2026_09_07.json,snapshot_2026_08_31.json
53,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,32,32,892,892,860,860,snapshot_2026_09_07.json,snapshot_2026_08_31.json
54,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,30,30,715,715,685,685,snapshot_2026_09_07.json,snapshot_2026_08_31.json
55,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,30,30,282,282,252,252,snapshot_2026_09_07.json,snapshot_2026_08_31.json
56,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,28,28,1122,1122,1094,1094,snapshot_2026_09_07.json,snapshot_2026_08_31.json
57,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,28,28,754,754,726,726,snapshot_2026_09_07.json,snapshot_2026_08_31.json
58,seanyushoumori/train-anarchy,train-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,28,28,378,378,350,350,snapshot_2026_09_07.json,snapshot_2026_08_31.json
59,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,27,27,984,984,957,957,snapshot_2026_09_07.json,snapshot_2026_08_31.json
60,crumpetime/sb-maps-msy,sb-maps-msy,crumpetime,muffintime,https://github.com/crumpetime,1,23,23,260,260,237,237,snapshot_2026_09_07.json,snapshot_2026_08_31.json
61,noahgarrf/la-metro-trainpack,la-metro-trainpack,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,23,23,23,23,0,0,snapshot_2026_09_07.json,snapshot_2026_08_31.json
