rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,18692,18692,52040,52040,33348,33348,snapshot_2026_09_10.json,snapshot_2026_08_11.json,17707,17707,985,985
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,4554,4554,7492,7492,2938,2938,snapshot_2026_09_10.json,snapshot_2026_08_11.json,4554,4554,0,0
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,2506,2506,11380,11380,8874,8874,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1012,1012,1494,1494
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,2210,2210,14504,14504,12294,12294,snapshot_2026_09_10.json,snapshot_2026_08_11.json,781,781,1429,1429
5,martig7,martig7,https://github.com/martig7,2,0,2,2058,2058,10154,10154,8096,8096,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,2058,2058
6,rslurry,slurry,https://github.com/rslurry,35,33,2,1936,1936,22131,22131,20195,20195,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1404,1404,532,532
7,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,1701,1701,13279,13279,11578,11578,snapshot_2026_09_10.json,snapshot_2026_08_11.json,668,668,1033,1033
8,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,1670,1670,10475,10475,8805,8805,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1670,1670,0,0
9,devenperez,devenperez,https://github.com/devenperez,8,8,0,1269,1269,11096,11096,9827,9827,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1269,1269,0,0
10,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,1183,1183,9750,9750,8567,8567,snapshot_2026_09_10.json,snapshot_2026_08_11.json,1183,1183,0,0
11,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,1142,1142,6756,6756,5614,5614,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,1142,1142
12,stefanorigano,Steno,https://github.com/stefanorigano,1,0,1,1015,1015,14278,14278,13263,13263,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,1015,1015
13,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,966,966,2582,2582,1616,1616,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,966,966
14,nzh0172,naz,https://github.com/nzh0172,8,5,3,874,874,7020,7020,6146,6146,snapshot_2026_09_10.json,snapshot_2026_08_11.json,182,182,692,692
15,kimth9,kimth9,https://github.com/kimth9,20,19,1,766,766,8949,8949,8183,8183,snapshot_2026_09_10.json,snapshot_2026_08_11.json,734,734,32,32
16,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,727,727,1223,1223,496,496,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,727,727
17,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,695,695,4062,4062,3367,3367,snapshot_2026_09_10.json,snapshot_2026_08_11.json,59,59,636,636
18,pendulating,pendulating,https://github.com/pendulating,1,0,1,642,642,2201,2201,1559,1559,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,642,642
19,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,508,508,3902,3902,3394,3394,snapshot_2026_09_10.json,snapshot_2026_08_11.json,108,108,400,400
