rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,74,3212,3212,19417,19417,16205,16205,snapshot_2026_09_10.json,snapshot_2026_08_27.json,3212,3212,0,0
2,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,1421,1421,1421,1421,0,0,snapshot_2026_09_10.json,snapshot_2026_08_27.json,1421,1421,0,0
3,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,1118,1118,22648,22648,21530,21530,snapshot_2026_09_10.json,snapshot_2026_08_27.json,1118,1118,0,0
4,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,705,705,4047,4047,3342,3342,snapshot_2026_09_10.json,snapshot_2026_08_27.json,705,705,0,0
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,565,565,11096,11096,10531,10531,snapshot_2026_09_10.json,snapshot_2026_08_27.json,565,565,0,0
6,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,490,490,20011,20011,19521,19521,snapshot_2026_09_10.json,snapshot_2026_08_27.json,490,490,0,0
7,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,460,460,8515,8515,8055,8055,snapshot_2026_09_10.json,snapshot_2026_08_27.json,460,460,0,0
8,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,446,446,8180,8180,7734,7734,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,446,446
9,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,403,403,4138,4138,3735,3735,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,403,403
10,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,390,390,6016,6016,5626,5626,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,390,390
11,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,389,389,5440,5440,5051,5051,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,389,389
12,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,384,384,2460,2460,2076,2076,snapshot_2026_09_10.json,snapshot_2026_08_27.json,384,384,0,0
13,rexmhall09/subway-builder-performance-mod,Subway-Builder-Performance-Mod,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,379,379,1223,1223,844,844,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,379,379
14,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,365,365,6445,6445,6080,6080,snapshot_2026_09_10.json,snapshot_2026_08_27.json,365,365,0,0
15,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,342,342,4875,4875,4533,4533,snapshot_2026_09_10.json,snapshot_2026_08_27.json,342,342,0,0
16,rmerr1/sb-vienna-map,sb-vienna-map,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,335,335,506,506,171,171,snapshot_2026_09_10.json,snapshot_2026_08_27.json,335,335,0,0
17,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,323,323,4612,4612,4289,4289,snapshot_2026_09_10.json,snapshot_2026_08_27.json,323,323,0,0
18,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,322,322,5223,5223,4901,4901,snapshot_2026_09_10.json,snapshot_2026_08_27.json,322,322,0,0
19,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,311,311,5363,5363,5052,5052,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,311,311
20,roquerodrigo/subway-builder-auto-lines,subway-builder-auto-lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,308,308,1413,1413,1105,1105,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,308,308
21,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,289,289,851,851,562,562,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,289,289
22,pierreggt/subwaybuilder-maps,subwaybuilder-maps,pierreggt,pierreggt,https://github.com/pierreggt,16,285,285,744,744,459,459,snapshot_2026_09_10.json,snapshot_2026_08_27.json,285,285,0,0
23,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,255,255,2201,2201,1946,1946,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,255,255
24,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,235,235,3813,3813,3578,3578,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,235,235
25,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,219,219,4875,4875,4656,4656,snapshot_2026_09_10.json,snapshot_2026_08_27.json,219,219,0,0
26,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,211,211,1144,1144,933,933,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,211,211
27,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,204,204,2919,2919,2715,2715,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,204,204
28,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,194,194,3234,3234,3040,3040,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,194,194
29,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,174,174,2549,2549,2375,2375,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,174,174
30,barkuperman/orbital-surveyor,orbital-surveyor,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,171,171,2330,2330,2159,2159,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,171,171
31,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,169,169,4456,4456,4287,4287,snapshot_2026_09_10.json,snapshot_2026_08_27.json,169,169,0,0
32,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,160,160,3716,3716,3556,3556,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,160,160
33,rslurry/subwaybuilder-missedconnections,subwaybuilder-missedConnections,rslurry,slurry,https://github.com/rslurry,1,159,159,1895,1895,1736,1736,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,159,159
34,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,159,159,1871,1871,1712,1712,snapshot_2026_09_10.json,snapshot_2026_08_27.json,0,0,159,159
