rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,132,131,1,931,931,52040,52040,51109,51109,snapshot_2026_09_10.json,snapshot_2026_09_07.json,885,885,46,46
2,kimth9,kimth9,https://github.com/kimth9,20,19,1,391,391,8949,8949,8558,8558,snapshot_2026_09_10.json,snapshot_2026_09_07.json,387,387,4,4
3,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,259,259,7492,7492,7233,7233,snapshot_2026_09_10.json,snapshot_2026_09_07.json,259,259,0,0
4,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,166,166,11380,11380,11214,11214,snapshot_2026_09_10.json,snapshot_2026_09_07.json,78,78,88,88
5,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,147,147,14504,14504,14357,14357,snapshot_2026_09_10.json,snapshot_2026_09_07.json,50,50,97,97
6,devenperez,devenperez,https://github.com/devenperez,8,8,0,122,122,11096,11096,10974,10974,snapshot_2026_09_10.json,snapshot_2026_09_07.json,122,122,0,0
7,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,117,117,13279,13279,13162,13162,snapshot_2026_09_10.json,snapshot_2026_09_07.json,40,40,77,77
8,martig7,martig7,https://github.com/martig7,2,0,2,116,116,10154,10154,10038,10038,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,116,116
9,rslurry,slurry,https://github.com/rslurry,35,33,2,115,115,22131,22131,22016,22016,snapshot_2026_09_10.json,snapshot_2026_09_07.json,95,95,20,20
10,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,102,102,9750,9750,9648,9648,snapshot_2026_09_10.json,snapshot_2026_09_07.json,102,102,0,0
11,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,92,92,6756,6756,6664,6664,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,92,92
12,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,71,71,138,138,67,67,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,71,71
13,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,68,68,4062,4062,3994,3994,snapshot_2026_09_10.json,snapshot_2026_09_07.json,2,2,66,66
14,nzh0172,naz,https://github.com/nzh0172,8,5,3,66,66,7020,7020,6954,6954,snapshot_2026_09_10.json,snapshot_2026_09_07.json,12,12,54,54
15,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,60,60,10475,10475,10415,10415,snapshot_2026_09_10.json,snapshot_2026_09_07.json,60,60,0,0
16,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,50,50,2582,2582,2532,2532,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,50,50
17,holapapie-png,holapapie-png,https://github.com/holapapie-png,2,2,0,46,46,46,46,0,0,snapshot_2026_09_10.json,snapshot_2026_09_07.json,46,46,0,0
18,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,40,40,264,264,224,224,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,40,40
19,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,39,39,1223,1223,1184,1184,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,39,39
20,pendulating,pendulating,https://github.com/pendulating,1,0,1,35,35,2201,2201,2166,2166,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,35,35
21,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,33,33,4456,4456,4423,4423,snapshot_2026_09_10.json,snapshot_2026_09_07.json,33,33,0,0
22,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,24,24,3902,3902,3878,3878,snapshot_2026_09_10.json,snapshot_2026_09_07.json,4,4,20,20
23,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,21,21,3716,3716,3695,3695,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,21,21
24,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,21,21,506,506,485,485,snapshot_2026_09_10.json,snapshot_2026_09_07.json,21,21,0,0
25,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,3,0,3,20,20,114,114,94,94,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,20,20
26,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,16,16,2796,2796,2780,2780,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,16,16
