rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,353,353,837,837,484,484,snapshot_2026_09_10.json,snapshot_2026_09_03.json
2,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,229,229,8180,8180,7951,7951,snapshot_2026_09_10.json,snapshot_2026_09_03.json
3,mod,improved-schematics,Improved Schematics,martig7,martig7,https://github.com/martig7,188,188,6016,6016,5828,5828,snapshot_2026_09_10.json,snapshot_2026_09_03.json
4,mod,induced-demand,Induced Demand,martig7,martig7,https://github.com/martig7,186,186,4138,4138,3952,3952,snapshot_2026_09_10.json,snapshot_2026_09_03.json
5,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,177,177,5440,5440,5263,5263,snapshot_2026_09_10.json,snapshot_2026_09_03.json
6,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,169,169,1144,1144,975,975,snapshot_2026_09_10.json,snapshot_2026_09_03.json
7,mod,dantrains-abridged,Dan Trains Abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,165,165,851,851,686,686,snapshot_2026_09_10.json,snapshot_2026_09_03.json
8,map,yukina-ua-kyiv,Київ / Kyiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,158,158,528,528,370,370,snapshot_2026_09_10.json,snapshot_2026_09_03.json
9,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,146,146,5363,5363,5217,5217,snapshot_2026_09_10.json,snapshot_2026_09_03.json
10,mod,subway-builder-performance,Subway Builder Performance,rexmhall09,rexmhall09,https://github.com/rexmhall09,141,141,1223,1223,1082,1082,snapshot_2026_09_10.json,snapshot_2026_09_03.json
11,mod,auto-lines,Auto Lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,126,126,1413,1413,1287,1287,snapshot_2026_09_10.json,snapshot_2026_09_03.json
12,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,113,113,2519,2519,2406,2406,snapshot_2026_09_10.json,snapshot_2026_09_03.json
13,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,112,112,3334,3334,3222,3222,snapshot_2026_09_10.json,snapshot_2026_09_03.json
14,mod,neighborhood-station-names,Neighborhood Station Names,pendulating,pendulating,https://github.com/pendulating,109,109,2201,2201,2092,2092,snapshot_2026_09_10.json,snapshot_2026_09_03.json
15,map,vienna,Vienna,Rmerr1,Rmerr1,https://github.com/Rmerr1,107,107,506,506,399,399,snapshot_2026_09_10.json,snapshot_2026_09_03.json
16,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,106,106,2919,2919,2813,2813,snapshot_2026_09_10.json,snapshot_2026_09_03.json
17,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,100,100,3813,3813,3713,3713,snapshot_2026_09_10.json,snapshot_2026_09_03.json
18,mod,game-speedup,Game SpeedUp,Valdotorium,Valdotorium,https://github.com/Valdotorium,100,100,2549,2549,2449,2449,snapshot_2026_09_10.json,snapshot_2026_09_03.json
19,mod,intercity-hsr-trains,"Intercity, HSR & Express Metro Trains",danielloong714,danielloong714,https://github.com/danielloong714,97,97,264,264,167,167,snapshot_2026_09_10.json,snapshot_2026_09_03.json
20,map,rhein-main-neckar,Frankfurt (Rhein-Main-Neckar),pierreggt,pierreggt,https://github.com/pierreggt,97,97,190,190,93,93,snapshot_2026_09_10.json,snapshot_2026_09_03.json
