rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
43,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,14,14,2611,2611,2597,2597,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,14,14
44,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,14,14,1363,1363,1349,1349,snapshot_2026_09_10.json,snapshot_2026_09_07.json,14,14,0,0
45,roquerodrigo/subway-builder-map-markers,subway-builder-map-markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,14,14,1169,1169,1155,1155,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,14,14
46,seanyushoumori/train-anarchy,train-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,14,14,392,392,378,378,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,14,14
47,kaicardenas0618/lrt-trains,lrt-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,12,12,1134,1134,1122,1122,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,12,12
48,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,12,12,727,727,715,715,snapshot_2026_09_10.json,snapshot_2026_09_07.json,12,12,0,0
49,m4d5hr1mp/sb-mods,SB-Mods,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,12,12,305,305,293,293,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,12,12
50,noahgarrf/great-society-subway-train,Great-Society-Subway-Train,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,12,12,83,83,71,71,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,12,12
51,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,11,11,903,903,892,892,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,11,11
52,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,11,11,293,293,282,282,snapshot_2026_09_10.json,snapshot_2026_09_07.json,11,11,0,0
