rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,74,190,190,19436,19436,19246,19246,snapshot_2026_09_10.json,snapshot_2026_09_09.json,190,190,0,0
2,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,48,79,79,22648,22648,22569,22569,snapshot_2026_09_10.json,snapshot_2026_09_09.json,79,79,0,0
3,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,8,56,56,11097,11097,11041,11041,snapshot_2026_09_10.json,snapshot_2026_09_09.json,56,56,0,0
4,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,33,40,40,20012,20012,19972,19972,snapshot_2026_09_10.json,snapshot_2026_09_09.json,40,40,0,0
5,barkuperman/subwaybuilder-au-nz-maps,subwaybuilder-au-nz-maps,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,9,34,34,2463,2463,2429,2429,snapshot_2026_09_10.json,snapshot_2026_09_09.json,34,34,0,0
6,pierreggt/subwaybuilder-maps-deutschland,subwaybuilder-maps-deutschland,pierreggt,pierreggt,https://github.com/pierreggt,20,32,32,1422,1422,1390,1390,snapshot_2026_09_10.json,snapshot_2026_09_09.json,32,32,0,0
7,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,6,30,30,6447,6447,6417,6417,snapshot_2026_09_10.json,snapshot_2026_09_09.json,30,30,0,0
8,holapapie-png/subwaybuilder-gran-santiago,subwaybuilder-gran-santiago,holapapie-png,holapapie-png,https://github.com/holapapie-png,1,29,29,29,29,0,0,snapshot_2026_09_10.json,snapshot_2026_09_09.json,29,29,0,0
9,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,27,27,8182,8182,8155,8155,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,27,27
10,holapapie-png/subwaybuilder-chile-central,subwaybuilder-chile-central,holapapie-png,holapapie-png,https://github.com/holapapie-png,1,25,25,25,25,0,0,snapshot_2026_09_10.json,snapshot_2026_09_09.json,25,25,0,0
11,martig7/improved-schematics,Improved-Schematics,martig7,martig7,https://github.com/martig7,1,23,23,6017,6017,5994,5994,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,23,23
12,kaicardenas0618/japanese-trains,japanese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,23,23,1147,1147,1124,1124,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,23,23
13,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,23,23,855,855,832,832,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,23,23
14,pierreggt/subwaybuilder-maps-france,subwaybuilder-maps-france,pierreggt,pierreggt,https://github.com/pierreggt,35,21,21,4048,4048,4027,4027,snapshot_2026_09_10.json,snapshot_2026_09_09.json,21,21,0,0
15,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,20,20,4612,4612,4592,4592,snapshot_2026_09_10.json,snapshot_2026_09_09.json,20,20,0,0
16,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,18,18,5442,5442,5424,5424,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,18,18
17,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,7,17,17,4875,4875,4858,4858,snapshot_2026_09_10.json,snapshot_2026_09_09.json,17,17,0,0
18,martig7/induced-demand,Induced-Demand,martig7,martig7,https://github.com/martig7,1,17,17,4141,4141,4124,4124,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,17,17
19,danielloong714/intercity-hsr-trains,intercity-hsr-trains,danielloong714,danielloong714,https://github.com/danielloong714,1,17,17,267,267,250,250,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,17,17
20,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,16,16,4875,4875,4859,4859,snapshot_2026_09_10.json,snapshot_2026_09_09.json,16,16,0,0
21,rexmhall09/subway-builder-performance-mod,Subway-Builder-Performance-Mod,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,16,16,1224,1224,1208,1208,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,16,16
22,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,15,15,5365,5365,5350,5350,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,15,15
23,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,15,15,4456,4456,4441,4441,snapshot_2026_09_10.json,snapshot_2026_09_09.json,15,15,0,0
24,seanyushoumori/track-visualizer,track-visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,15,15,2567,2567,2552,2552,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,15,15
25,pierreggt/subwaybuilder-maps,subwaybuilder-maps,pierreggt,pierreggt,https://github.com/pierreggt,16,15,15,745,745,730,730,snapshot_2026_09_10.json,snapshot_2026_09_09.json,15,15,0,0
26,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,13,13,5224,5224,5211,5211,snapshot_2026_09_10.json,snapshot_2026_09_09.json,13,13,0,0
27,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,13,13,3235,3235,3222,3222,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,13,13
28,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,13,13,1873,1873,1860,1860,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,13,13
29,roquerodrigo/subway-builder-auto-lines,subway-builder-auto-lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,13,13,1415,1415,1402,1402,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,13,13
30,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,12,12,2920,2920,2908,2908,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,12,12
31,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,12,12,2204,2204,2192,2192,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,12,12
32,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,11,11,2615,2615,2604,2604,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,11,11
33,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,10,10,2550,2550,2540,2540,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,10,10
34,rmerr1/sb-vienna-map,sb-vienna-map,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,10,10,506,506,496,496,snapshot_2026_09_10.json,snapshot_2026_09_09.json,10,10,0,0
35,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,9,9,1894,1894,1885,1885,snapshot_2026_09_10.json,snapshot_2026_09_09.json,0,0,9,9
